	(1)	(2)	(3)	(4)
_Iind6090_362	2.537***		-0.600***	
	[0.253]		[0.232]	
_Iind6090_380	3.785***		-0.721**	
	[0.532]		[0.324]	
_Iind6090_381	1.425		0.610	
	[1.084]		[1.898]	
_Iind6090_391	2.927***		-0.864***	
	[0.226]		[0.218]	
_Iind6090_392	3.223***		-0.682**	
	[0.247]		[0.291]	
_Iind6090_400	2.380***		-0.636*	
	[0.357]		[0.372]	
_Iind6090_401	2.356***		-0.721***	
	[0.174]		[0.245]	
_Iind6090_402	3.860***		-0.549*	
	[0.274]		[0.312]	
_Iind6090_410	2.834***		-0.124	
	[0.120]		[0.127]	
_Iind6090_411	2.084***		-0.281	
	[0.256]		[0.299]	
_Iind6090_412	3.013***		-1.929***	
	[0.215]		[0.224]	
_Iind6090_420	1.453***		0.165	
	[0.274]		[0.304]	
_Iind6090_421	3.008***		-0.411*	
	[0.359]		[0.241]	
_Iind6090_422	1.924*		-1.071	
	[1.004]		[1.301]	
_Iind6090_432	1.832***		0.709***	
	[0.274]		[0.258]	
_Iind6090_441	2.029***		0.240	
	[0.243]		[0.197]	
_Iind6090_442	1.690***		0.531***	
	[0.265]		[0.201]	
_Iind6090_460	2.873***		-1.065***	
	[0.232]		[0.237]	
_Iind6090_461	2.467***		-1.240***	
	[0.372]		[0.354]	
_Iind6090_462	2.793***		-0.743***	
	[0.493]		[0.266]	
_Iind6090_470	2.725***		-0.747	
	[0.502]		[0.497]	
_Iind6090_471	3.646***		-1.095***	
	[0.231]		[0.253]	
_Iind6090_472	3.189***		-1.237***	
	[0.399]		[0.262]	
_Iind6090_500	1.723***		0.095	
	[0.257]		[0.306]	
_Iind6090_536	1.178***		0.781***	
	[0.259]		[0.230]	
_Iind6090_541	1.446***		0.022	
	[0.280]		[0.231]	
_Iind6090_542	2.298***		-0.233	
	[0.401]		[0.508]	
_Iind6090_550	2.176***		-0.049	
	[0.226]		[0.231]	
_Iind6090_551	1.762***		0.742	
	[0.442]		[0.457]	
_Iind6090_552	2.640***		0.399	
	[0.342]		[0.383]	
_Iind6090_566	1.864***		0.133	
	[0.160]		[0.154]	
_Iind6090_571	1.002***		0.747**	
	[0.346]		[0.327]	
_Iind6090_580	1.206***		0.358	
	[0.269]		[0.257]	
_Iind6090_581	1.760***		0.473*	
	[0.337]		[0.264]	
_Iind6090_592	1.371***		0.115	
	[0.397]		[0.423]	
_Iind6090_602	2.109***		-0.537	
	[0.754]		[0.669]	
_Iind6090_621	1.432***		0.340*	
	[0.276]		[0.199]	
_Iind6090_626	1.212***		0.391***	
	[0.153]		[0.129]	
_Iind6090_630	0.349*		0.917***	
	[0.209]		[0.185]	
_Iind6090_631	-0.741*		1.402***	
	[0.422]		[0.282]	
_Iind6090_632	1.205***		-0.222	
	[0.234]		[0.303]	
_Iind6090_636	1.870***		-0.276*	
	[0.177]		[0.143]	
_Iind6090_640	1.161***		0.423*	
	[0.295]		[0.222]	
_Iind6090_641	-0.131		-0.103	
	[0.106]		[0.117]	
_Iind6090_642	0.895***		0.712***	
	[0.310]		[0.248]	
_Iind6090_646	1.417***		0.168	
	[0.150]		[0.166]	
_Iind6090_650	2.201***		0.028	
	[0.600]		[0.370]	
_Iind6090_660	0.363		0.580*	
	[0.383]		[0.322]	
_Iind6090_672	2.599***		-0.464*	
	[0.459]		[0.256]	
_Iind6090_681	-0.005		1.075***	
	[0.526]		[0.400]	
_Iind6090_691	1.007***		0.543**	
	[0.247]		[0.217]	
_Iind6090_696	1.018***		0.272**	
	[0.172]		[0.136]	
_Iind6090_706	3.094***		0.862***	
	[0.135]		[0.137]	
_Iind6090_710	2.653***		1.516***	
	[0.195]		[0.182]	
_Iind6090_711	1.481***		1.042***	
	[0.185]		[0.140]	
_Iind6090_712	0.240		0.957***	
	[0.180]		[0.160]	
_Iind6090_721	1.348***		1.005***	
	[0.307]		[0.267]	
_Iind6090_736	2.029***		0.161	
	[0.117]		[0.107]	
_Iind6090_756	2.117***		-0.528***	
	[0.129]		[0.158]	
_Iind6090_761	-1.542***		-0.409***	
	[0.112]		[0.122]	
_Iind6090_766	1.001***		-1.116***	
	[0.145]		[0.131]	
_Iind6090_771	2.206***		-1.031***	
	[0.228]		[0.253]	
_Iind6090_776	-0.626***		0.038	
	[0.131]		[0.124]	
_Iind6090_782	1.413***		0.690***	
	[0.394]		[0.199]	
_Iind6090_786	0.904***		-0.135	
	[0.111]		[0.128]	
_Iind6090_790	1.991***		-1.913***	
	[0.344]		[0.378]	
_Iind6090_800	1.147***		-0.148	
	[0.321]		[0.237]	
